United Airlines : 20 de John F. Kennedy a Ministro Pistarini
United Airlines : 20 de Ministro Pistarini a John F. Kennedy
Delta : 152 de John F. Kennedy a Ministro Pistarini
Delta : 152 de Ministro Pistarini a John F. Kennedy
United Airlines : 96 de Tocumen a Madrid-Barajas
United Airlines : 96 de Madrid-Barajas a Tocumen
United Airlines : 126 de Westchester a Logan
United Airlines : 126 de Logan a Westchester
United Airlines : 18 de Tancredo Neves a Logan
United Airlines : 18 de Logan a Tancredo Neves
Aerolineas : 15 de Silvio Pettirosi a Armando Tola
Aerolineas : 15 de Armando Tola a Silvio Pettirosi
Delta : 80 de Comodoro Benitez a El prat
Delta : 80 de El prat a Comodoro Benitez
LATAM : 100 de Jorge Chavez a Pucon
LATAM : 100 de Pucon a Jorge Chavez
LATAM : 120 de Pucon a Humberto Delgado
LATAM : 120 de Humberto Delgado a Pucon
Delta : 10 de Pucon a Humberto Delgado
Delta : 10 de Humberto Delgado a Pucon
Avianca : 40 de El prat a Madrid-Barajas
Avianca : 40 de Madrid-Barajas a El prat
